,Alpha,Cycle Probability
0,0.1,0.0174
1,0.2,0.0161
2,0.30000000000000004,0.0122
3,0.4,0.009
4,0.5,0.0103
5,0.6,0.0079
6,0.7000000000000001,0.0071
7,0.8,0.0064
8,0.9,0.0056
9,1.0,0.0069
10,1.1,0.0058
11,1.2000000000000002,0.0071
12,1.3000000000000003,0.0058
13,1.4000000000000001,0.0052
14,1.5000000000000002,0.007
15,1.6,0.0061
16,1.7000000000000002,0.0048
17,1.8000000000000003,0.0043
18,1.9000000000000001,0.0043
19,2.0,0.0044
20,2.1,0.0023
21,2.2,0.0037
22,2.3000000000000003,0.0015
23,2.4000000000000004,0.0022
24,2.5000000000000004,0.0014
25,2.6,0.002
26,2.7,0.0018
27,2.8000000000000003,0.0016
28,2.9000000000000004,0.0014
29,3.0000000000000004,0.0015
30,3.1,0.0018
31,3.2,0.0014
32,3.3000000000000003,0.0002
33,3.4000000000000004,0.0007
34,3.5000000000000004,0.0015
35,3.6,0.0008
36,3.7,0.0005
37,3.8000000000000003,0.0005
38,3.9000000000000004,0.0006
39,4.0,0.0004
40,4.1,0.0002
41,4.2,0.0004
42,4.3,0.0002
43,4.3999999999999995,0.0003
44,4.5,0.0005
45,4.6,0.0001
46,4.7,0.0005
47,4.8,0.0001
48,4.9,0.0005
49,5.0,0.0001
